,Latitude,Longitude,Total Capacity (MW),Annual,,First Yr Annual (MWh)
3192,45.78,-74,0.005,4.32,,6.89
581,42.95,-79.85,0.005,4.2,,6.87
356,46.45,-66.41,0.005,4.2,,6.63
3957,44,-79.31,0.005,4.23,,6.87
1219,50.1,-103.86,0.005,4.99,,6.85
2328,46.98,-70.55,0.005,4.15,,6.5
2250,44.75,-79.88,0.005,4.19,,6.89
2697,44.51,-79.84,0.005,4.2,,6.83
2763,47.66,-64.87,0.005,4.22,,6.57
3073,51.21,-58.65,0.005,3.44,,5.58
1520,50.42,-107.22,0.005,4.96,,6.67
3552,45.73,-60.43,0.005,4.87,,6.13
2741,51.07,-56.88,0.005,3.43,,5.67
233,49.03,-79.23,0.005,4.22,,6.42
4040,49.96,-55.89,0.005,4.19,,5.67
409,43.03,-82.25,0.005,4.32,,7.13
2473,44.05,-79.45,0.005,4.23,,6.95
331,45.66,-73.88,0.005,4.36,,6.9
2617,44.56,-80.93,0.005,4.16,,6.76
3161,48.41,-68.16,0.005,4.11,,6.24
751,47.84,-53.98,0.005,3.43,,5.66
1832,49.7,-106.57,0.005,4.99,,6.71
3702,49.14,-103.48,0.005,5.06,,7.03
1286,53.35,-108.35,0.005,4.73,,6.01
4074,53.6,-113.42,0.005,4.2,,6.13
2692,45.93,-65.16,0.005,4.19,,6.64
2237,49.7,-56.11,0.005,3.47,,5.59
3377,47.21,-67.98,0.005,4.17,,6.57
1485,44.64,-64.85,0.005,4.34,,6.7
3245,46.15,-70.9,0.005,4.16,,6.62
3708,45.61,-62.63,0.005,3.96,,6.57
1064,44.94,-63.53,0.005,3.97,,6.57
2809,49.28,-122.82,0.005,3.58,,5.51
504,44.3,-77.79,0.005,4.36,,7.13
1246,52.51,-111.93,0.005,4.73,,6.14
3871,49.78,-115.73,0.005,4.48,,6.72
483,51.15,-101.74,0.005,4.8,,6.49
3689,44.26,-81.54,0.005,4.18,,6.4
3910,46.1,-64.81,0.005,4.74,,6.56
2106,53.34,-111.17,0.005,4.65,,6.11
707,49.74,-112.92,0.005,4.85,,7.06
337,46.18,-82.96,0.005,4.3,,6.71
4080,44.39,-78.4,0.005,4.9,,6.95
1169,59.31,-107.2,0.005,4.17,,5.3
3705,46.02,-73.14,0.005,4.17,,6.93
1318,49.78,-126.04,0.005,3.46,,5.73
2920,50.99,-118.19,0.005,3.99,,5.71
4062,46,-72.91,0.005,4.32,,6.82
315,52.39,-101.1,0.005,4.56,,6.6
1597,43.62,-81.28,0.005,4.16,,6.63
2819,49.97,-98.29,0.005,4.75,,6.88
1573,44.55,-79.67,0.005,4.19,,6.98
767,44.19,-79.7,0.005,4.23,,6.8
897,46.07,-64.68,0.005,4.18,,6.62
2000,44.5,-76.11,0.005,4.2,,6.99
2759,47.39,-61.79,0.005,3.86,,6.09
2265,44.15,-78.44,0.005,4.3,,6.94
2203,44.6,-80.59,0.005,4.18,,6.79
3052,45.81,-71.71,0.005,4.13,,6.36
3337,55.35,-118.78,0.005,4.32,,5.64
3004,47.91,-79.24,0.005,4.27,,6.64
